7.5E-5	7.96447	8.28274	8.06539	8.18479	8.14842	8.00184	8.44565	8.06487
1.375E-4	7.98448	8.33227	8.02798	8.08641	8.20141	8.04787	8.36488	8.11181
2.125E-4	7.98257	8.43621	7.92507	8.25787	8.08804	7.98307	8.29805	8.23353
2.75E-4	7.90736	8.21203	7.9423	8.32258	8.02074	7.96801	8.34494	8.03184
3.5E-4	7.85941	7.85131	8.0126	8.18153	7.89568	7.95917	8.31034	8.033
4.25E-4	7.89792	8.0254	7.99206	8.09886	8.03565	7.77941	8.20369	8.03293
5E-4	8.03463	8.07126	8.10532	8.14443	8.11083	7.7768	8.16598	8.10648
5.625E-4	8.23317	8.09025	8.14148	8.14454	8.17889	7.71824	8.20771	7.91254
6.375E-4	8.39919	8.09024	7.95105	8.20356	8.05325	7.78104	8.3446	7.9763
7.125E-4	8.28479	8.10124	8.107	8.20059	7.97493	7.75733	8.20307	7.93007
7.875E-4	8.28744	8.066	8.37153	8.03909	7.92065	7.81925	8.19872	7.95965
8.625E-4	8.37649	8.04858	8.34465	7.8644	8.01005	7.93468	8.06361	7.85932
9.375E-4	8.29255	8.21572	8.22785	8.03304	8.06115	7.96384	8.16145	8.03534
0.0010125	8.27999	8.27641	8.28273	8.27897	8.05411	7.83708	8.18077	8.16152
0.0010875	8.14121	8.24605	8.20967	8.21361	7.97508	7.75275	8.22202	8.19835
0.0011625	8.04775	8.17916	8.12999	8.30731	7.97332	7.96429	8.10877	8.09937
0.00125	8.18003	8.29123	8.26128	8.36979	7.99715	8.04531	8.13476	7.93772
0.001325	8.25675	8.38402	8.28804	8.16096	7.91589	8.12017	8.0801	7.95985
0.0014	8.16459	8.41734	8.05019	8.17338	7.8041	8.1954	8.07145	8.08804
0.0014875	8.12902	8.25978	7.9469	8.38547	7.96716	8.12427	8.02242	8.17322
0.0015625	8.0695	8.14209	8.09026	8.27394	8.16882	8.17028	8.05456	8.11658
0.0016375	8.09054	8.09374	8.107	8.02035	8.15504	8.14309	8.05889	8.22802
0.001725	8.09871	8.17068	8.19361	8.11507	7.9872	8.08715	8.08696	8.38914
0.0018	8.09643	8.19175	8.23655	8.2874	7.91519	8.05501	8.10443	8.31541
0.0018875	8.1517	8.05006	8.29701	8.30727	8.15177	8.13783	8.30242	8.37405
